ayshipie,367,461
Loud_Lass,7270,4952
FakeTonyAbbott1,4868,4330
RobMitchellMP,6403,882
ThPnyx,651,608
NC_24,2686,3581
lackman55,22,55
MelbourneStevo,191,812
BabsNation,5459,4037
CitizenAust,671,1042
GLComputing,3054,3303
Brains3,2588,2936
psansw,1961,767
zebrasfly,1608,2447
slsandpet,4988,2698
alcookster,147,169
SeanBradbery,3118,4968
bloodiedwombat,582,1192
Tim_Coronel,2548,2407
LockedGateLancs,1770,2612
robmagnacarta,359,694
Raysimon1953,1189,1176
snowycats,950,1334
zaria_hart1,975,1175
michaelhallida4,4603,4443
JacquiCoghlan,91,449
trollhater4444,1671,2113
abouthalfthree,74,170
pertina1,363,417
DisneySorceror,1461,3636
SirenofBrixton,3253,2117
maxfuckery,230,416
regnans,1360,1438
VivJoy_69,581,1114
pepeMcGee,2003,2729
Yoshi_Kobayoshi,77,125
zhalli1,1589,2331
66leejay99,134,369
jjp666,194,131
GayCarBoys,9634,9855
JamesElliott_88,386,672
mrseankelly,6341,1092
Was_geht_man,1074,1905
Kevintplatt,198,1069
JessWalshOz,886,371
_Shaggs3,2044,2567
VoiceofGrandpa,36,100
grecialdawn,600,833
Dave_G1,1473,1054
Shorten_Suite,3067,759
dazza_double_u,1935,2212
JL_Whitaker,2340,2190
Greens,82474,543
davidserrasan,918,2500
VictorianGreens,7043,1937
mediamanint,975,5002
AntNom,84051,85324
howiexxx,1999,2820
TheWillowGhost,1678,1761
sallytolerton,207,530
derekvanbraam,411,326
ray_wilton,4495,4480
shortmsgs,14253,10852
simrob72,658,1070
SheldonMumby,226,705
Dan_Gerr,1437,418
roseannebyrne,1914,464
heathrodgirs,2281,2551
HailMarxism,37,4
fran_b__,3146,802
filmstvandlife,727,1030
ctrldh_,194,735
judyvw2,1813,1794
HolgarHolgar,58,231
emuwhisperer,1146,1247
tjgeol,979,1848
Lyn_Cleaver,458,340
harrypusspuss,4626,2899
nigelparsons85,556,1268
janet_rice,6599,1601
ClimateGuardia,8821,8218
AngleseaAC,4947,4070
JustJen64,4171,798
SCAA3230,6309,4277
myknittingwool,3169,3544
Bishop64,3720,1734
cosmiczorro,1041,999
Roscommon_Cat,340,706
PollieWaffle,225,305
ReclaimAnglesea,16951,12944
JennyGardiner__,2681,4957
Hill60,785,892
Technorants,169,454
Air2Vent,520,389
d695652,4,18
HMMurti,218,189
cponzi,506,60
ShakespeareITW,921,
a_sangwin,88,203
geoff_wales,846,2105
FrancisAwartefe,9088,861
kimbakit,24882,2444
lisanoel1968,668,1260
KJC135,274,1666
2ManyAustriches,359,128
bepatrick93,73,297
bruceporksteen1,192,304
punditfap,995,1306
rogerRabido,112,524
naenae61_grp,564,459
GDamianou,2888,3206
sarahewart4,130,1363
SharonUren,3944,3527
sspencer_63,9095,1503
ianw84,2447,941
StroudRoadStu,269,736
Wannon_ALP,428,521
contact_ady,217,617
qtpdtb,156,231
nonamecreek,151,522
AAAopinion,283,314
AverageSociopat,97,410
MelAnalyst,1392,4976
MJA_Editor,773,955
Frankscan1965,557,1297
lapoon789,8,97
marchfremantle,98,141
wheels4016,15,18
RoyanWg,4105,3969
sheanamary,42,22
RedShane1,113,202
ZefBerry,731,2874
victorsojo,621,735
DeanSmithWA,2397,478
way_across,705,1147
Flibbety,84,568
reedfleming,1980,1806
den2114,6985,5840
skm009,115,84
